id,beta,eta,beta/eta,error,tauOVq,delta,q,epsilon,fE0
CAM-0,0.30325767711150325,0.10628612355065135,2.853219846398705,24.05173952683145,1.0,0.1,1.05,0.15000000000000002,10.0
CAM-1,0.38724494877248405,0.10935250858249776,3.5412534544677463,24.050509176746175,0.6666666666666666,0.1,1.0,0.15000000000000002,9.0
CAM-2,0.35211870141532153,0.07758309859233267,4.5386006463284065,24.0517501487556,0.5384615384615384,0.1111111111111111,0.9500000000000001,0.2,10.0
CAM-3,0.32187291745491914,0.06704132113295447,4.801112388829417,24.050726880007808,0.5384615384615384,0.1,1.0,0.2,11.0
CAM-4,0.28524037297959076,0.06864723827702597,4.155161666205756,24.04625599588243,0.6666666666666666,0.07142857142857142,1.0,0.2,9.0
CAM-5,0.3033613212173274,0.0757248470731025,4.006100149987381,24.05091267869827,0.6666666666666666,0.1,1.0,0.2,10.0
CAM-6,0.2591355338922622,0.07098964389606129,3.6503286912056168,24.051124020682586,0.8181818181818182,0.1,1.0,0.2,11.0
CAM-7,0.2835390487347069,0.06780080842910594,4.181942004883051,24.05111370468977,0.6666666666666666,0.1,1.0,0.25,9.0
CAM-8,0.29158352393903864,0.05649069027936867,5.161620835168476,24.04980625873852,0.5384615384615384,0.09090909090909091,1.05,0.25,10.0
CAM-9,0.3120191665611661,0.07923018478336849,3.938135035457638,24.049747549676834,0.6666666666666666,0.09090909090909091,1.05,0.2,9.0
CAM-10,0.30047899264360955,0.05956445535687238,5.044602369707408,24.05093850540755,0.5384615384615384,0.1,1.0,0.25,10.0
CAM-11,0.2737039172915951,0.0774772209655394,3.532701791321789,24.051135499928076,0.8181818181818182,0.1,1.0,0.2,10.0
CAM-12,0.2747690724465948,0.07812731450055325,3.5169399358357447,24.051198668802236,0.8181818181818182,0.1,1.0,0.2,10.0
CAM-13,0.3229189698752675,0.08354684732183612,3.8651245406224706,24.050856919976216,0.6666666666666666,0.1,1.0,0.2,9.0
CAM-14,0.2541996921716762,0.05606676876205479,4.533874481878739,24.051183770856525,0.6666666666666666,0.1,1.0,0.25,11.0
CAM-15,0.32765411825865765,0.08547683488965405,3.8332504787015256,24.049405153694757,0.6666666666666666,0.09090909090909091,1.0,0.15000000000000002,11.0
CAM-16,0.30007089681474575,0.07449559500700945,4.028035440035232,24.048454011366843,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.2,9.0
CAM-17,0.22025804264524174,0.053687521818465436,4.102592840660519,24.047827022136588,0.8181818181818182,0.07692307692307693,1.0,0.25,10.0
CAM-18,0.2734104494922403,0.07741278961421086,3.5318511431352637,24.051043914264557,0.8181818181818182,0.1,0.9500000000000001,0.2,10.0
CAM-19,0.2926386151240161,0.07149920619773442,4.092893203802994,24.04974702904314,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
CAM-20,0.2925134368954606,0.0714287652459129,4.09517700450797,24.04974271686597,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
CAM-21,0.272123648102963,0.06327892340617587,4.300383657861101,24.04979669427142,0.6666666666666666,0.09090909090909091,0.9,0.25,9.0
CAM-22,0.3626555798952567,0.09943311739367784,3.647231318911812,24.0505320591425,0.6666666666666666,0.1,1.05,0.15000000000000002,10.0
CAM-23,0.2404584002130558,0.06258916060547522,3.841853731331569,24.051271879399245,0.8181818181818182,0.1,0.9500000000000001,0.25,10.0
CAM-24,0.32296084711421674,0.08356876129487266,3.864612112349593,24.05085710921421,0.6666666666666666,0.1,1.0,0.2,9.0
CAM-25,0.2504646280948957,0.054656491000543254,4.582523018032867,24.048720390610217,0.6666666666666666,0.08333333333333333,0.9500000000000001,0.25,10.0
CAM-26,0.24046339740896486,0.06259236255359223,3.841737036257061,24.05127186637931,0.8181818181818182,0.1,0.9500000000000001,0.25,10.0
CAM-27,0.3356343741891237,0.07202102739257038,4.660227524381961,24.045733006148172,0.5384615384615384,0.07142857142857142,1.0,0.15000000000000002,11.0
CAM-28,0.2771650431284175,0.07958307710245349,3.4827133257438807,24.053547281097288,0.8181818181818182,0.1,1.0,0.2,10.0
CAM-29,0.303338128424278,0.07571099987754298,4.006526514177666,24.050912891236628,0.6666666666666666,0.1,1.0,0.2,10.0
CAM-30,0.2634360577969469,0.07296766178831031,3.6103124499345043,24.049879969529325,0.8181818181818182,0.09090909090909091,0.9500000000000001,0.2,10.0
CAM-31,0.25915068704641486,0.07099936283662318,3.6500424326729126,24.05112417403886,0.8181818181818182,0.1,1.0,0.2,11.0
CAM-32,0.34864933520489744,0.09387389797209066,3.714017876498036,24.049402699883515,0.6666666666666666,0.09090909090909091,1.05,0.15000000000000002,10.0
CAM-33,0.3099667142232812,0.07841090701071725,3.953107112775966,24.04962319446545,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,9.0
CAM-34,0.3042985909146742,0.07610077220005415,3.9986268485519743,24.05096512113029,0.6666666666666666,0.1,1.05,0.2,10.0
CAM-35,0.3319628638130736,0.054349209458672,6.1079612218739525,24.040411515186968,0.42857142857142855,0.05263157894736842,0.9500000000000001,0.2,9.0
CAM-36,0.3380183746208959,0.07269058028721692,4.650098723731587,24.05058787584467,0.5384615384615384,0.1,0.9500000000000001,0.2,10.0
CAM-37,0.2915929413936189,0.07106122549563201,4.103404344068658,24.049679311954403,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,10.0
CAM-38,0.3230026729458016,0.06743299171817356,4.789979870620965,24.050797260598554,0.5384615384615384,0.1,1.05,0.2,11.0
CAM-39,0.2925129087301737,0.07142847674529322,4.095186150661527,24.049742717202353,0.6666666666666666,0.09090909090909091,1.0,0.2,10.0
CAM-40,0.3407673684724765,0.0736511965495207,4.626773011669342,24.050746452086464,0.5384615384615384,0.1,1.05,0.2,10.0
CAM-41,0.316897893474627,0.0812175251687073,3.9018412936907136,24.048262598279692,0.6666666666666666,0.08333333333333333,1.0,0.15000000000000002,11.0
CAM-42,0.30996877714349824,0.07841209319758627,3.953073620448126,24.049623193828342,0.6666666666666666,0.09090909090909091,0.9500000000000001,0.2,9.0
CAM-43,0.2474166718213732,0.06561699462840077,3.7706187737267185,24.048144631910255,0.8181818181818182,0.07692307692307693,1.0,0.2,10.0
CAM-44,0.3019608346536169,0.07524936171080335,4.012802604414187,24.048582690817106,0.6666666666666666,0.08333333333333333,1.05,0.2,9.0
CAM-45,0.3276727588600754,0.06911188316101625,4.741192742450185,24.049491890332227,0.5384615384615384,0.09090909090909091,1.0,0.2,10.0
CAM-46,0.3612382208382499,0.09886572312271247,3.653826720003654,24.05047157256136,0.6666666666666666,0.1,1.0,0.15000000000000002,10.0
CAM-47,0.25913099195597467,0.07098699017032609,3.650401169766687,24.051124030383292,0.8181818181818182,0.1,1.0,0.2,11.0
CAM-48,0.2291581010929916,0.05750492957336434,3.98501663758467,24.051366060377454,0.8181818181818182,0.1,1.05,0.25,11.0
CAM-49,0.2741518542503559,0.07775007548131144,3.526065441778934,24.051087106174684,0.8181818181818182,0.1,1.0,0.2,10.0
CAM-50,0.35971011259835495,0.09825593968713862,3.66095030736793,24.05040155987678,0.6666666666666666,0.1,0.9500000000000001,0.15000000000000002,10.0
CAM-51,0.3165277320059802,0.08094944688135994,3.9101901767146776,24.05205717380949,0.6666666666666666,0.1111111111111111,1.0,0.2,10.0
CAM-52,0.2933536628746675,0.07176404298094942,4.087752733671117,24.049797382984085,0.6666666666666666,0.09090909090909091,1.05,0.2,10.0
